D 0:Unknown
D 1:sprite-1-1
D 2:sprite-1-5
D 3:sprite-1-8
D 4:sprite-10-3
V 1 -180.000000:-160.000000
V 2 30.000000:-140.000000
V 3 140.000000:-70.000000
V 4 150.000000:60.000000
V 5 10.000000:140.000000
V 6 -160.000000:90.000000
V 7 -120.000000:-50.000000
V 8 90.000000:-60.000000
V 9 120.000000:-160.000000
V 10 0.000000:-230.000000
V 11 -150.000000:-190.000000
V 12 -230.000000:-70.000000
V 13 -230.000000:40.000000
V 14 -150.000000:210.000000
V 15 50.000000:250.000000
V 16 170.000000:200.000000
V 17 140.000000:110.000000
V 18 -0.000000:40.000000
V 19 -60.000000:-20.000000
V 20 -110.000000:-100.000000
V 21 -150.000000:-140.000000
V 22 20.000000:-290.000000
V 23 110.000000:-240.000000
V 24 210.000000:-160.000000
V 25 250.000000:-0.000000
V 26 240.000000:130.000000
V 27 220.000000:250.000000
V 28 120.000000:320.000000
W 1 2 0
W 2 3 0
W 3 4 0
W 4 5 0
W 5 6 0
W 6 7 0
W 7 8 0
W 8 9 0
W 9 10 0
W 10 11 0
W 11 12 0
W 12 13 0
W 13 14 0
W 14 15 0
W 15 16 0
W 16 17 0
W 17 18 0
W 18 19 0
W 19 20 0
W 20 21 0
W 21 1 0
W 1 22 1
W 22 23 1
W 23 24 1
W 24 25 2
W 25 26 2
W 26 27 3
W 27 28 3
W 28 1 4
